id_seller,ticket_medio_vendas,variação total,amount_orders,dias_olist
00135d70-d6cf-4b5f-9bca-bc49f4c3b24f,85.89,1.103625437753818,1717,488
003e0695-103f-40c5-870c-718fba1e25b7,220.76,5.397525842204858,167,278
00522eb2-72e8-4926-82aa-502259380627,89.7,0.9109346192029499,45,375
0054fb00-d692-40a9-b637-eacdf95b7449,721.91,0.44412331636282704,58,574
005bb58c-025a-4670-8815-feb37ac83a5b,27.68,0,5,442
006374b2-3984-43e5-a749-773c2bb95575,1378.63,0,51,530
006978ae-fff7-4223-93f2-b8ae939f6d44,80.33,1.1492380273563454,123,383
0072429c-768d-44fb-b058-91dff07f4caf,43.72,0,3,48
00744910-1dc0-4d3e-98b7-2d6bc3116879,43.97,0,23,104
007e21d7-64c0-42a8-9e86-3f9510a15971,93.4,0.5056038615399875,131,530
0081c721-1bd8-4ed9-879a-7d43554aa3ae,207.70000000000002,0,6,350
0082a79d-d149-4fc2-88a0-0814c0f09fca,68.99,1.976615278018361,20,560
008f21e6-9035-4638-bef5-2a443dddd88e,102.03,0.5781455399061033,166,530
00a7c163-e82b-48ce-9439-d650e2545ecc,81.02,0.9953621960119596,60,530
00af1033-6a79-4454-93a7-bb90a0de60f6,38.25,1.2902451548470373,4823,491
00c2c815-2903-4b7f-9f20-29fc61ba11ab,67.13,0,9,229
00c9197a-e4af-498d-b5b1-508edf7ad74f,79.81,0,4,89
00d1d616-0247-438d-919b-3256000e0fe7,214.07,0.2678224096173876,28,530
00d25128-0390-4218-8ec5-ee32380e7bff,156.70000000000002,1.6728838288063836,330,459
00d4e270-d281-4f04-8074-e7079e9d42c1,95.56,0,3,258
00d8c305-7120-4be8-a351-9e2f1ac78819,151.11,0,9,559
00e10bd5-2a5a-4783-b1ee-15896d4faf9f,129.73,0.5856222278014896,227,557
00eb237e-4dd3-4cc7-a400-aa5e370ead45,720.94,4.454549627121881,216,238
0105e127-1379-4e79-b86f-f54a0724b3f0,100.74000000000001,0,55,351
010fc9c7-52b2-4861-83e0-274753df8428,291.42,0.2059062370021193,90,473
01104a7e-99fe-4f59-b6b7-f3265e243752,829.04,6.873135327867368,88,468
0116e942-0d7c-4795-960d-9acdc887a65a,38.07,0,17,484
011f8fd6-1af6-4663-ac84-fb3704a536b1,206.24,0,7,210
0130b39d-f409-41fe-9096-18d7c64130ca,82.37,0.9187802734574589,419,530
0139ae67-73e8-4d88-86db-247e14079162,66.47,0,55,530
013bb265-2ff6-4125-8207-d306187b528f,64.85,1.3370496541756995,10,167
0140896d-10a7-4779-8748-794d6233cc3c,27.200000000000003,0,38,232
0147a9ae-601e-4d26-8a38-df878de58cdf,157.96,0.8934026649333767,47,273
015002c7-4044-4efc-a339-fed3c7246757,334.36,0.39211305791013235,195,351
0152e3c6-ce2d-42a2-8964-10194bd6aeba,103.15,1.2757761594480646,41,412
015df132-e3af-49a4-a559-da760e60a79f,171.91,1.8582836386785124,158,450
015f4aee-33a7-4425-9733-8f098c45b295,90.2,0,5,396
016703fd-1dbb-4aa1-b592-893429378770,38.400000000000006,0,8,530
01957354-8397-4779-adad-29df7af9890d,107.7,0,5,572
01a06d90-797a-4291-8319-7e22ebd9e087,224.16,0,6,530
01a9595a-6703-4685-9e0c-48d726e125bc,95.88,0.37781803000511766,528,438
01ba5425-21a9-4f6c-b551-065718fe09cf,116.98,1.1375569372567471,1624,404
